platform,mean_scope,method,label,k,k_label,n,psnr,psnr_std,ssim,ssim_std,bpp,bpp_std,compress_ms,compress_ms_std,decompress_ms,decompress_ms_std,dct_kernel_ms,dct_kernel_ms_std,idct_kernel_ms,idct_kernel_ms_std,tx_ms,tx_ms_std,total_core_ms,total_core_ms_std,compression_ratio,compression_ratio_std,frame_bytes,frame_bytes_std,raw_bytes,raw_bytes_std
embedded,prototype_runs_mean,rdct,RDCT,0.5,k=0.5,6,32.28166633333333,1.308134222471482,0.9126973333333334,0.016675811400548593,9.392552166666666,1.8019407158715754,406.23900000000003,0.045777723840302535,174.562,0.06212245970661704,44.0085,0.03187946047222216,88.61166666666668,0.10567623510831134,1596.600666666667,303.6415421701495,2443.6793333333335,309.48901688988366,2.6327418333333337,0.49572316982381076,90192.5,17298.633018247427,230400.0,0.0
embedded,prototype_runs_mean,rdct,RDCT,0.8,k=0.8,6,30.61833316666667,1.4060927985024905,0.8908196666666667,0.01909151020392747,7.287448,1.4946927506720569,406.2643333333333,0.0536159180343642,174.71783333333335,0.07714769385190262,44.003833333333326,0.015917495615411736,88.64916666666669,0.0646851348198857,1242.0271666666665,252.6339461809649,2082.6938333333337,257.57271075982925,3.406487166666667,0.6788829048657558,69983.5,14349.05129616589,230400.0,0.0
embedded,prototype_runs_mean,silveira_j3,Silveira j=3,0.1,k=0.1,6,39.193334,0.39261564580999464,0.9647739999999999,0.010641179539881864,23.528333333333336,3.0343954152420327,404.98166666666657,0.07157560105698396,157.31766666666667,0.10051003266673181,42.41966666666667,0.026620793877469153,71.34066666666666,0.13061648696342384,3980.954833333333,511.92531813357976,4856.7385,522.5408862620225,1.0336144999999999,0.1272832881218112,225896.0,29130.19480882337,230400.0,0.0
embedded,prototype_runs_mean,silveira_j3,Silveira j=3,0.2,k=0.2,6,35.98833333333334,0.8736463601880708,0.944124,0.014134785757131249,16.001718833333335,2.5155619848660784,404.991,0.08426861812086077,157.44133333333332,0.09773365165932588,42.41583333333333,0.031262864018939,71.46249999999999,0.09654998705334011,2712.2555,424.0278545717252,3562.8285,432.2342313638522,1.5298373333333333,0.23205124995454487,153640.5,24149.398930408188,230400.0,0.0
embedded,prototype_runs_mean,silveira_j3,Silveira j=3,0.5,k=0.5,6,32.1733335,1.3070371308171391,0.9083873333333333,0.017814087792156697,9.422551833333333,1.8440999437550472,405.0768333333333,0.21956084957631322,157.674,0.10970141293529984,42.435,0.030983866769657805,71.64433333333334,0.13602891849406998,1602.1323333333332,311.42914297969395,2431.722166666667,317.5086674240038,2.6274278333333334,0.5035381961775757,90480.5,17703.36124864428,230400.0,0.0
embedded,prototype_runs_mean,silveira_j3,Silveira j=3,0.8,k=0.8,6,30.46166666666667,1.3974459755811197,0.8859818333333332,0.020510421043134792,7.244791666666667,1.5139050831514727,404.9925,0.10008746175221127,157.60816666666668,0.1281115399433849,42.42083333333333,0.03330715638817855,71.79483333333333,0.14822336747850043,1233.8106666666665,254.64210621393056,2056.3006666666665,259.62481741133047,3.430582166666666,0.6941931011798999,69574.0,14533.487124568555,230400.0,0.0
embedded,prototype_runs_mean,silveira_j7,Silveira j=7,0.1,k=0.1,6,39.176667,0.47956860336556767,0.9654793333333332,0.010236973472011485,22.836822833333333,2.9894589431582053,413.69283333333334,0.10192628054955372,182.7115,0.06898333131996676,51.18116666666666,0.018734104373221372,96.78133333333334,0.08525412990974215,3865.72,504.8035627457478,4773.723666666666,515.2773212299049,1.0654131666666666,0.13386392488854743,219257.5,28698.805994326663,230400.0,0.0
embedded,prototype_runs_mean,silveira_j7,Silveira j=7,0.2,k=0.2,6,36.154999333333336,0.9047152347570302,0.9470328333333332,0.013363563737516513,15.436406499999999,2.3200901979672035,413.6410000000001,0.04578646088091298,182.92683333333335,0.057890989511897896,51.18966666666666,0.022178067243712865,96.85316666666667,0.09201829528233584,2616.518333333333,391.78990415102163,3499.647333333333,399.39746703987316,1.5833876666666666,0.23141942195128454,148213.5,22272.861331674474,230400.0,0.0
embedded,prototype_runs_mean,silveira_j7,Silveira j=7,0.5,k=0.5,6,32.58166683333333,1.2741180314241554,0.9156248333333333,0.016662705175530992,9.219322833333335,1.766115000949306,413.8285,0.2076292368622505,182.9416666666667,0.06695570675205066,51.167333333333325,0.0047609522856952805,96.92083333333335,0.1200023610878841,1567.7338333333335,297.94763991709465,2430.7935,303.6797363346787,2.6814138333333335,0.5005439747820032,88529.5,16954.702754693164,230400.0,0.0
embedded,prototype_runs_mean,silveira_j7,Silveira j=7,0.8,k=0.8,6,30.938333333333333,1.3894380614721435,0.8947435,0.018797245050804642,7.171250000000001,1.4777105645643875,414.02933333333334,0.17984067022414718,183.01016666666666,0.06868891225420962,51.1835,0.03539350222851609,97.0185,0.07739702836672616,1220.818,249.02222736615303,2077.4738333333335,253.8549269322277,3.4613866666666673,0.6849659545147239,68868.0,14186.02117579133,230400.0,0.0
